主分类代码,分类名称,料号,品名,规格,单位名称,菲林编号,开料尺寸,印刷工艺,分色信息,落料直径,材料厚度,材料宽度,材料高度,边角料重量,库存单位重量,库存单位体积,重量单位,体积单位,存货分类,单位编码,是否生效,生效日期,失效日期
401胶盖,401胶盖,P54-000-211,铁401深绿金钻2#高盖(包装笑脸折勺)9812德物300克草牧里专用),401#,pcs,,1,,,1,1,1,1,,0,0.3,克,立方米,销售,pcs,√,2019.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-1012,800克菁爱幼儿配方奶粉罐（新风格B1）-01大料铁,T4CA-0.25×802（W）×904  2.8/2.8  R2,张,A0681012F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0.25,904,802,17.98,"1,422.83",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-068-1012,800克美菁爱幼儿配方奶粉罐（新风格B1）-01小料片,398.8×175.5,片,A0681012F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,17.98,140.48,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-1012,800克菁爱幼儿配方奶粉罐（新风格B1）-01,502×175.5,罐,A0681012F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,1.798042,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
502胶盖,502胶盖,P55-000-0074,213光身金色高盖(盖勺一体)7447,502胶盖,pcs,,0,,,131,0,0,0,,48.5,0.000595467,克,立方米,销售,pcs,√,2025.02.11,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-516-0002,合生元可贝思亲呵350克合拼大料片,T4CA-0.23×943(W)×911?2.8/2.8??R2,罐,,312.4×129.3,,,0,0.23,867,943,,"1,476.14",0.000188043,克,立方米,销售,GUAN,√,2019.01.01,9999.12.31
马口铁,马口铁,Y20-025-004,马口铁,T4CA-0.25×802(W)×866 2.8/2.8 R2,张,,,,,0,0.25,802,866,,"1,363.02",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,X05-050-0001,亚泽502包装,黑色胶托、木盖板、覆膜纸板，单坑瓦楞纸板、缠绕膜、每层70罐、6层,套,,1200,,,0,0,0,0,,0,0,克,立方米,通用,SET,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-050-1004,亚泽210g乳清分离蛋白粉大料片,T4CA-0.25×802(W)×866 2.8/2.8 R2,张,A0501004F,398.8×172,白磁,四色+286C+过光印哑,0,0.25,906,802,1.594617,"1,425.98",0.000181653,克,立方米,销售,ZHANG,√,2023.07.24,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-050-1004,亚泽210g乳清分离蛋白粉小料片,502×168,片,A0501004F,398.8×172,白瓷,四色+过光印哑,0,0,0,0,,0,0.00001509,克,立方米,销售,PIAN,√,2023.07.24,9999.12.31
502成品罐,502成品罐,C05-050-1004,亚泽210g乳清分离蛋白粉,502×168,罐,A0501004F,398.8×172,白磁,四色+286C+过光印哑,0,0,0,0,7.982665,134.615,0.00327252,克,立方米,销售,GUAN,√,2023.07.24,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-516-0001,合生元155样罐大料片,T4CA-0.25×802(W)×810 2.8/2.8 R2#,张,,398.8×159,,,0,0.25,801,802,,"1,260.71",0.000160601,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-516-0001,合生元155样罐,502×155,罐,,398.8×159,白墨,四色+专色,0,0.25,801,802,1.630837,124.441,0.000160601,克,立方米,销售,GUAN,√,2023.05.31,9999.12.31
502打码易撕盖,502打码易撕盖,P25-068-004,贝因美（双码40mm圆）2.0版,502#-铁质-点胶-D型-环内外素铁-铝箔,pcs,,,,,0,0,0,0,,0,0,克,立方米,销售,pcs,√,2022.09.29,9999.12.31
502成品罐,502成品罐,X05-068-0002,贝因美175.5高6层包装,胶托、胶盖板、覆膜纸板、C33单坑瓦楞纸板、PO袋、缠绕膜、每层70罐、7层,套,,31×1,,,0,0,0,0,,0,0,克,立方米,通用,SET,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-852,800g可睿欣幼儿配方奶粉罐（B）-06大料片,T4CA-0.28×802（W）×904  2.8/2.8 R2,张,A068852F,398.8×179.5,白墨+珠光油,四色+两专色,0,0.28,904,802,20.14,"1,593.57",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-851,800g可睿欣较大婴儿配方奶粉罐（B）-06大料片,T4CA-0.28×802（W）×904  2.8/2.8 R2,张,A068851F,398.8×179.5,白墨+珠光油,四色+两专色,0,0.28,904,802,20.14,"1,593.57",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-850,800克可睿欣婴儿配方奶粉罐（B）-06大料铁,T4CA-0.28×802（W）×904  2.8/2.8  R2,张,A068850F,398.8×179.5,白墨+珠光油,四色+两专色,0,0.28,904,802,20.14,"1,593.57",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-068-852,800g可睿欣幼儿配方奶粉罐（B）-06小料片,398.8×175.5,片,A068852F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,,157.24,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-068-851,800g可睿欣较大婴儿配方奶粉罐（B）-06小料片,398.8×175.5,片,A068851F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,,157.34,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-068-850,800克可睿欣婴儿配方奶粉罐（B）-06小料片,398.8×175.5,片,A068850F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,,157.34,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-852,800g可睿欣幼儿配方奶粉罐（B）-06,502×175.5,罐,A068852F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,2.013807,175,0.00357,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-851,800g可睿欣较大婴儿配方奶粉罐（B）-06,502×175.5,罐,A068851F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,2.013807,175.64,0.00357,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-850,800克可睿欣婴儿配方奶粉罐（B）-06,502×175.5,罐,A068850F,398.8×179.5,白墨+珠光油,四色+两专色,0,0,0,0,2.013807,175.64,0.00357,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-867-003,400g草牧里酸枣仁高钙奶粉罐大料铁,T4CA-0.23×943×754  2.8/2.8 R2,张,A867003F,312.4×149.5,白瓷+哑油,四色,0,0.23,754,943,18.89,"1,283.75",0.00019455,克,立方米,销售,ZHANG,√,2023.05.11,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-867-001,300g草牧里营养补充蛋白粉罐大料片,T4CA-0.23×943×754  2.8/2.8 R2,张,A867001F,312.4×149.5,白瓷+哑油+内素铁,四色+两专色,0,0.23,943,754,,"1,527.22",0.00019455,克,立方米,销售,ZHANG,√,2023.05.11,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-867-003,400g草牧里酸枣仁高钙奶粉罐小料片,401*146,片,A867003F,312.4×149.5,白瓷+哑油,四色,0,0.23,312.4,149.5,,84.32,0.000010274,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-867-001,300g草牧里营养补充蛋白粉罐小料片,401*146,片,A867001F,312.4×149.5,白瓷+哑油+内素铁,四色+两专色,0,0.23,312.4,149.5,,83.787,0.000010274,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401成品罐,401成品罐,C04-867-003,400g草牧里酸枣仁高钙奶粉罐,401*146,罐,A867003F,312.4×149.5,白瓷+哑油,四色,0,0,0,0,1.259637,73.9,0.00168108,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-867-001,300g草牧里营养补充蛋白粉罐,401*146,罐,A867001F,312.4×149.5,白瓷+哑油+内素铁,四色+两专色,0,0,0,0,1.259637,73.9,0.00168108,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-516-068,800g合生元大灌篮儿童配方调制奶粉大料片,T4CA-0.25×802(W)×810 2.8/2.8 R2#,张,A516068F,398.8×159,白墨,四色+三专,0,0.25,801,802,,"1,260.71",0.000160601,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-516-068,800g合生元大灌篮儿童配方调制奶粉,502×155,罐,A516068F,398.8×159,白墨,四色+三专,0,0.25,801,802,1.630837,124.441,0.000160601,克,立方米,销售,GUAN,√,2023.05.31,9999.12.31
服务性料品,服务性料品,9-000-0077,质量折扣料,质量折扣料,pcs,,,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
服务性料品,服务性料品,9-000-0076,索赔料,索赔料,pcs,,,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-342-0115,展辉800g玺铂婴儿配方奶粉罐大料片,T4CA-0.25×802(W)×851 2.8/2.8  R2,张,A3420115F,398.8×169,白瓷,四色+专色,0,0.25,816,802,1.5,"1,284.32",0.000163608,克,立方米,销售,ZHANG,√,2023.01.01,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-342-0115,展辉800g玺铂婴儿配方奶粉罐小料片,502×169,片,A3420115F,398.8×169,白瓷,四色+专色,0,0,0,0,1.5,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.01.01,9999.12.31
502成品罐,502成品罐,C05-342-0115,展辉800g玺铂婴儿配方奶粉罐,502×165,罐,A3420115F,398.8×169,白瓷,四色+专色,126.5,0.25,162,398.8,1.5,126.8,0.003217959,克,立方米,销售,GUAN,√,2023.01.01,9999.12.31
马口铁,马口铁,Y20-025-026,马口铁,T4CA-0.25×802(W)×851 2.8/2.8 R2,张,,,,,0,0.25,802,851,,"1,339.41",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502拼版大料,502拼版大料,T95-342-0006,800g玺铂拚版大料片,T4CA-0.25×802(W)×851 2.8/2.8 R2,张,,398.8×169,,,0,0.28,851,802,20.5,"1,500.14",0.000157528,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502打码易撕盖,502打码易撕盖,P25-342-0002,展辉（双码40mm圆）＋验证码＋文字,502#-铁质-点胶-D型-环外光油内素铁-铝箔,pcs,,1,,,0,0,0,0,,0,0.000188044,克,立方米,销售,pcs,√,2025.03.19,9999.12.30
502罐身涂印铁大料,502罐身涂印铁大料,T15-342-0114,800g玺铂幼儿配方奶粉罐大料片,T4CA-0.25×802(W)×851 2.8/2.8  R2,张,A3420114F,398.8×169,白瓷,四色+专色,0,0.25,816,802,1.5,"1,284.32",0.000163608,克,立方米,销售,ZHANG,√,2023.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-342-0113,800g玺铂较大婴儿配方奶粉罐大料片,T4CA-0.25×802(W)×851 2.8/2.8  R2,张,A3420113F,398.8×169,白瓷,四色+专色,0,0.25,816,802,1.5,"1,284.32",0.000163608,克,立方米,销售,ZHANG,√,2023.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-342-0112,800g玺铂婴儿配方奶粉罐大料片,T4CA-0.25×802(W)×851 2.8/2.8  R2,张,A3420112F,398.8×169,白瓷,四色+专色,0,0.25,816,802,1.5,"1,284.32",0.000163608,克,立方米,销售,ZHANG,,2023.01.01,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-342-0114,800g玺铂幼儿配方奶粉罐小料片,502×169,片,A3420114F,398.8×169,白瓷,四色+专色,0,0,0,0,1.5,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.01.01,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-342-0113,800g玺铂较大婴儿配方奶粉罐小料片,502×169,片,A3420113F,398.8×169,白瓷,四色+专色,0,0,0,0,1.5,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.01.01,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-342-0112,800g玺铂婴儿配方奶粉罐小料片,502×169,片,A3420112F,398.8×169,白瓷,四色+专色,0,0,0,0,1.5,126.8,0.000016151,克,立方米,销售,PIAN,,2023.01.01,9999.12.31
502成品罐,502成品罐,C05-342-0114,800g玺铂幼儿配方奶粉罐,502×165,罐,A3420114F,398.8×169,白瓷,四色+专色,126.5,0.25,162,398.8,1.5,126.8,0.003217959,克,立方米,销售,GUAN,√,2023.01.01,9999.12.31
502成品罐,502成品罐,C05-342-0113,800g玺铂较大婴儿配方奶粉罐,502×165,罐,A3420113F,398.8×169,白瓷,四色+专色,126.5,0.25,162,398.8,1.5,126.8,0.003217959,克,立方米,销售,GUAN,√,2023.01.01,9999.12.31
502成品罐,502成品罐,C05-342-0112,800g玺铂婴儿配方奶粉罐,502×165,罐,A3420112F,398.8×169,白瓷,四色+专色,126.5,0.25,162,398.8,1.5,126.8,0.003217959,克,立方米,销售,GUAN,,2023.01.01,9999.12.31
马口铁,马口铁,Y20-023-165,马口铁,T4CA-0.23×943(W)×867 2.8/2.8 R2 #,张,,,,,0,0.23,943,867,,"1,476.14",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-097-0001,362克笔博士全价儿童成长奶粉罐大料铁,T4CA-0.23×943（W）×867  2.8/2.8  R2,张,A097001F,312.4×143.5,白瓷+光油,四色+专色,,0,0,943,16.88,"1,230.97",0.000188043,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-097-0001,362克笔博士全价儿童成长奶粉罐,401×140,罐,A097001F,,白瓷+光油,四色+专色,0,0,0,0,1,92,0.001487603,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
薄膜,薄膜,B40-000-0058,手用拉伸膜,0.02×500mm,KG,,500,,,0,0,0,0,,0,0,克,立方米,通用,KG,√,2018.01.01,9999.12.31
薄膜,薄膜,B40-000-0020,PO袋,0.025×1240×1040×1200mm,pcs,,0.25,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
401底盖,401底盖,P34-000-067,单光印蓝筋点底-34#（印蓝φ63）(2道筋）,401,pcs,,398.8×179.5,,,115.6,0,0,0,,0,0.000035357,克,立方米,通用,pcs,√,2022.01.24,9999.12.31
马口铁,马口铁,Y20-023-054,马口铁,T4CA-0.23×943(W)×835 2.8/2.8 R2,张,,,,,0,0.23,943,835,,"1,421.66",0,克,立方米,通用,ZHANG,√,2018.01.01,9999.12.31
401胶盖,401胶盖,P54-000-244,铁401红色金钻2#高盖(包装笑脸折叠勺)4657(德物400克 红参高钙专用),401#,pcs,,0,,,1,1,1,1,,0,0.3,克,立方米,通用,pcs,√,2019.01.01,9999.12.31
401胶盖,401胶盖,P54-000-245,铁401紫色金钻2#高盖(包装笑脸折叠勺))4656(德物400克酸枣仁高钙专用),401#,pcs,,0,,,1,1,1,1,,0,0.3,克,立方米,通用,pcs,√,2019.01.01,9999.12.31
401成品罐,401成品罐,X04-867-0001,德物401#包装,胶托、木盖板、.‘单坑纸板.打包带. 缠绕膜、每层121罐、8层,套,,0,,,0,0,0,0,,0,0,克,立方米,销售,SET,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-023-304,马口铁,T4CA-0.23×943(W)×754?2.8/2.8?R2 #,张,,,,,0,0.23,943,754,,"1,283,750.00",0.000128,克,立方米,通用,ZHANG,√,2021.04.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-867-002,400g草牧里红参高钙奶粉罐大料铁,T4CA-0.23×943×754  2.8/2.8 R2,张,A867002F,312.4×149.5,白瓷+哑油,四色,0,0.23,754,943,18.89,"1,283.75",0.00019455,克,立方米,销售,ZHANG,√,2023.05.11,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-867-002,400g草牧里红参高钙奶粉罐小料片,401*146,片,A867002F,312.4×149.5,白瓷+哑油,四色,0,0.23,312.4,149.5,,84.32,0.000010274,克,立方米,销售,PIAN,√,2023.05.11,9999.12.31
401成品罐,401成品罐,C04-867-002,400g草牧里红参高钙奶粉罐,401*146,罐,A867002F,312.4×149.5,白瓷+哑油,四色,0,0,0,0,1.259637,73.9,0.00168108,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502底盖,502底盖,P35-000-0145,单光印蓝（白墨印哑）筋点底-08#（印蓝直径66mm）,502,pcs,,,,,,0,0,0,,0,0.00005,克,立方米,通用,pcs,√,2022.04.08,9999.12.31
其它包材类,其它包材类,B90-516-0001,珍珠棉,200 ×50×20mm,pcs,,39,,,0,0,0,0,,0,0,KG,立方米,销售,pcs,√,2019.01.01,9999.12.31
纸板,纸板,B60-000-130,PP防护板,直角防护板,张,,,,,0,0,0,0,,0,0,克,立方米,通用,ZHANG,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-025-045,马口铁,T4CA-0.25×802(W)×896 2.8/2.8 R2,张,,,,,0,0.25,802,896,,"1,410.24",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-023-147,马口铁,T4CA-0.23×802(W)×896 2.8/2.8 R2,张,,,,,0,0.23,802,896,,"1,297.42",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-021-226,马口铁,T4CA -0.21×943(W)×864 2.8/2.8 R2#,张,,,,,0,0.21,943,864,,"1,343.12",0,克,立方米,销售,ZHANG,√,2019.12.01,9999.12.31
401成品罐,401成品罐,C04-516-0001,合生元罐高125.8样罐,401×125.8,罐,A5160001F,312.4×129.3,,,0,0.21,943,911,12.08838,66.588,0.000180405,克,立方米,销售,GUAN,√,2024.05.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-516-0001,合生元罐高125.8打样,T4CA  0.23×943×871,张,A516025F,312.4×129.3,,,0,0.21,911,943,,"1,416.18",0.000180405,克,立方米,销售,ZHANG,√,2023.06.08,9999.12.31
502拼版大料,502拼版大料,T95-342-0002,卓赋900g拼版大料片,T4CA-0.28×802(W)×851   2.8/2.8 R2,张,,398.8×169,,,0,0,0,886,1.7,"1,414.50",0.000177643,克,立方米,销售,ZHANG,√,2025.03.21,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-160-0003,长沙502×169打样（0.23）,T4CA 0.28×802×9871,张,,398.8×173,,,0,0.23,904,802,,"1,309.00",0.000166751,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-160-0003,169样罐,502×169,罐,,398.8×173,,,0,0.28,0,0,6.334416,124.566,0.003217959,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-160-0002,马口铁,T4CA 0.23×802×8712.8/2.8,张,,398.8×173,,,0,0.23,904,802,,"1,309.00",0.000166751,克,立方米,销售,ZHANG,,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-160-0002,样罐（502×169）,502×169）,罐,,398.8×173,,,0,0.28,0,0,6.334416,124.566,0.003217959,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
401易开盖,401易开盖,P44-000-014,铁质拉环式“D”型易撕盖（环内外素铁）,401,pcs,,,,,,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
401胶盖,401胶盖,P54-000-008,光身无标记紫色直边胶盖,401,pcs,,39,,,,0,0,0,0.848842,0,0.002967429,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
401底盖,401底盖,P34-000-083,单光印蓝筋底-24#(印蓝φ62mm)（0.21）,401,pcs,,,,,115.6,0,0,0,,0,0.000035357,克,立方米,通用,pcs,√,2021.01.01,9999.12.31
马口铁,马口铁,Y20-023-226,马口铁,T4CA-0.23×943(W)×870 2.8/2.8 R2 #,张,,,,,0,0.23,943,870,,"1,482.95",0,克,立方米,销售,ZHANG,√,2021.03.01,9999.12.31
服务性料品,服务性料品,9-000-001,起印费,,个,,,,,0,0,0,0,,0,0,克,立方米,,PIECE,√,2018.01.01,9999.12.31
服务性料品,服务性料品,9-000-061,采购运费,服务性料品-061,pcs,,,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-050-1003,葆迪乐90g乳铁蛋白调制乳粉罐（罐）大料片,T4CA  0.21×943（W）×789  2.8/2.8 R2#,张,A0501003F,312.4×130.5,白瓷,四色+3专,0,0.23,867,943,0.99,"1,495.14",0.000188044,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-050-1003,葆迪乐90g乳铁蛋白调制乳粉罐(罐）小料片,401×150,片,A0501003F,312.4×130.5,白瓷,四色+专色,0,0,0,0,0.66,0,0.000008969,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-050-1003,葆迪乐90g乳铁蛋白调制乳粉罐(罐）,401×127,罐,A0501003F,312.40×130.50mm,白瓷,四色+专色,0,0,0,0,8.400931,73.607,0.00138843,克,立方米,销售,GUAN,√,2023.06.08,9999.12.31
300底盖,300底盖,P32-000-018,单光印蓝筋点底-21#（印蓝φ54）,300,pcs,,,,,89,0,0,0,,0,0.000021214,克,立方米,通用,pcs,√,2021.06.01,9999.12.31
盖板,盖板,B20-000-006,免检木盖板,100×120cm,pcs,,1200×1000,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2018.01.01,9999.12.31
托盘,托盘,B10-000-051,九脚胶托（黑色）,120×100×14cm,pcs,,1200×1000,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2023.09.15,9999.12.31
马口铁,马口铁,Y20-021-162,马口铁,T4CA-0.21×943(W)×789 2.8/2.8 R2  #,张,,,,,0,0.21,943,789,,"1,226.53",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401底盖,401底盖,P34-000-072,单光筋底-24#（0.23）,401,pcs,,0.8×1,,,115.6,0,0,0,,0,0.000035357,克,立方米,通用,pcs,√,2021.10.19,9999.12.31
马口铁,马口铁,Y20-028-013,马口铁,T4CA-0.28×802(W)×866?2.8/2.8?R2 #,张,,,,,0,0.28,802,866,,"1,522.90",0.000194,克,立方米,销售,ZHANG,√,2022.02.01,9999.12.30
401胶盖,401胶盖,P54-000-0300,光身无标记白色直边胶盖,401#,pcs,,3102×102,,,115.6,0,0,0,0.001,0.001,0.000147366,克,立方米,通用,pcs,√,2025.02.01,9999.12.31
马口铁,马口铁,Y20-028-003,马口铁,T4CA-0.28×802(W)×904 2.8/2.8 R2,张,,,,,0,0.28,802,904,,"1,593.57",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-160-0001,样罐（502×175.5）,502×175.5,罐,,398.8×179.5,,,0,0.28,0,0,1.654199,129.246,0.003217959,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-160-0001,长沙502×175.5打样（0.28）,T4CA 0.28×802×904,张,,398.8×179.5,,,0,0.23,904,802,,"1,309.00",0.000166751,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502拼版大料,502拼版大料,T95-342-0001,卓赋800g拼版大料片,T4CA-0.25×802(W)×851   2.8/2.8 R2,张,,398.8×169,,,0,0.25,802,886,1.7,"1,414.50",0.000177643,克,立方米,销售,ZHANG,√,2025.03.21,9999.12.31
502底盖,502底盖,P35-000-112,单光印蓝（白墨）筋点底-08#（印蓝φ62）,502,pcs,,,,,144.3,0,0,0,,0,0.00005,克,立方米,通用,pcs,√,2021.05.01,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-516-0063,合生元可贝思亲呵700克婴儿配方羊奶粉 （0-6月龄，1段）小料片,502×160,片,A516063F,398.8×164.5,白瓷,四色+三专,0,0,0,0,,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.11.02,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-0063,悠熠2段直罐（400g）小料片,502×120,片,A700063F,398.8×120,白墨,四色+三专,0,0,0,0,,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.11.02,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-0059,悠熠3段直罐（400g）小料片,502×120,片,A700059F,398.8×120,白墨,四色+三专,0,0,0,0,,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.11.02,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-0064,达能益生冕御力中老年奶粉罐800G小料片,502×166.5,片,A700064F,398.8×166.5,白墨,四色+专色,0,0,0,0,,126.8,0.000016151,克,立方米,销售,PIAN,√,2023.11.02,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-057,爱他美悠熠3段直罐（800g）小料片,502×176,片,A700057F,398.8×180,白墨,四色+三专,0,0,0,0,,0,0.000015792,克,立方米,销售,PIAN,√,2023.07.24,9999.12.31
401成品罐,401成品罐,C04-000-008,401打样(海外健合401×85素铁罐20250728),,罐,,312.4×158.5,,,,0,0,0,0.848842,89.4,0.001259504,克,立方米,通用,GUAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-000-9999,401打样（长沙）,401×145,罐,,312.4×148.5,,,,0,0,943,0,83.872,0.001126108,克,立方米,通用,GUAN,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-021-367,马口铁,T4CA-0.21×943(W)×764 2.0/2.0 R2 #(低镀锡量测试),张,,,,,,0.21,943,764,,"1,187.67",0.000151295,克,立方米,销售,ZHANG,√,2018.01.01,2026.04.05
401罐身涂印铁大料,401罐身涂印铁大料,T14-000-008,401打样大料片,T4CA-0.25×802×847,张,,312.4×152.5,内素铁，外白墨+光油或过光印哑,四色+两专,,0,0,802,,"1,333.11",0.000169823,克,立方米,通用,ZHANG,√,2018.01.01,9999.12.31
纸箱,纸箱,B50-000-0058,540×420×375mm胶框,540×420×375mm,个,,540×420×375mm,,,0,0,0,0,,0,0,克,立方米,通用,PIECE,√,2023.09.18,9999.12.31
托盘,托盘,B10-000-005,胶托（小料片周转使用）,50×100cm,pcs,,,,,0,0,0,0,,0,0,克,立方米,,pcs,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-062-551,225克爷爷的农场有机婴幼儿强化钙米粉（红枣黑米黑芝麻味）铁罐,401×140,罐,A062551F,312.4×143.5,白墨,四色+三专,0,0,0,0,,0,0.00138843,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
401易开盖,401易开盖,P44-000-016,铁质点胶式“D”型易撕盖（环内外素铁）,401,pcs,,,,,,0,0,0,,0,0,克,立方米,通用,pcs,√,2019.01.01,9999.12.31
马口铁,马口铁,Y20-025-153,马口铁,"T4CA-0.25×802(W)×839?2.8/2.8?R2 #  (武钢,一类铁）",张,,,,,0,0.25,802,839,,"1,320.52",0,克,立方米,销售,ZHANG,√,2024.07.12,9999.02.15
502成品罐,502成品罐,X05-700-006,达能益生502×162.5胶托包装（倒盖川字胶托）,胶托、胶盖板、川字胶托、单坑瓦楞纸板、单坑覆膜纸板 、70罐、6层,套,,,,,,0,0,0,,0,0,克,立方米,销售,SET,√,2022.11.25,9999.12.31
