主分类代码,分类名称,料号,品名,规格,单位名称,菲林编号,开料尺寸,印刷工艺,分色信息,落料直径,材料厚度,材料宽度,材料高度,边角料重量,库存单位重量,库存单位体积,重量单位,体积单位,存货分类,单位编码,是否生效,生效日期,失效日期
异型罐身涂印铁大料,异型罐身涂印铁大料,T19-516-0001,合生元派星天呵350g婴儿配方奶粉（0-6月龄，1段）打样大料,T4CA  0.23×943×911,张,A516033F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0,克,立方米,销售,ZHANG,√,2026.04.10,9999.12.31
异型成品罐,异型成品罐,C09-516-0003,合生元派星天呵350g幼儿配方奶粉（12-36月龄，3段）(打样),401×125.8,罐,A516035F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0.001004176,克,立方米,销售,GUAN,√,2026.04.10,9999.12.31
异型成品罐,异型成品罐,C09-516-0002,合生元派星天呵350g较大婴儿配方奶粉（6-12月龄，2段）(打样),401×125.8,罐,A516034F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0.001004176,克,立方米,销售,GUAN,√,2026.04.10,9999.12.31
异型成品罐,异型成品罐,C09-516-0001,合生元派星天呵350g婴儿配方奶粉（0-6月龄，1段）打样,401×125.8,罐,A516033F,312.4×129.3,白瓷,,0,0.28,0,0,,0,0.001004176,克,立方米,销售,GUAN,√,2026.04.10,9999.12.31
异型成品罐,异型成品罐,C09-068-0001,打样-800g可睿欣幼儿配方奶粉罐（B）-07,502×175.5,罐,A068852F,398.8×179.5,白墨,,0,0.28,0,0,,0,0.002271767,克,立方米,销售,GUAN,√,2026.04.10,9999.12.31
异型罐身涂印铁大料,异型罐身涂印铁大料,T19-068-0001,打样-800g可睿欣幼儿配方奶粉罐（B）-07,T4CA-0.28×802(W)×940 2.8/2.8 R2,张,A068852F,398.8×179.5,白墨,,0,0.28,0,0,,0,0.000211086,克,立方米,销售,ZHANG,√,2026.04.10,9999.12.31
502成品罐,502成品罐,X05-700-0009,达能502×176胶托包装(九宫托盘+PO袋+胶盖板),胶托、胶盖板、单坑覆膜纸板 、PO袋、70罐、6层,套,,1200*1000*1300,,,0,0,0,0,,0,0,克,立方米,销售,SET,√,2026.04.01,9999.12.31
502成品罐,502成品罐,X05-700-0008,达能502×162.5胶托包装(九宫托盘+PO袋+胶盖板),胶托、胶盖板、单坑覆膜纸板 、PO袋、70罐、6层,套,,1200*1000*1300,,,0,0,0,0,,0,0,克,立方米,销售,SET,√,2026.04.01,9999.12.31
502成品罐,502成品罐,X05-700-0007,达能502×116胶托包装(九宫托盘+PO袋+胶盖板),胶托、胶盖板、单坑覆膜纸板 、PO袋、70罐、9层,套,,1200*1000*1300,,,0,0,0,0,,0,0,克,立方米,销售,SET,√,2026.04.01,9999.12.31
薄膜,薄膜,B40-700-0001,达能用手工膜,0.02×170mm,KG,,,,,0,0,0,0,,0,0,克,立方米,销售,KG,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-516-0075,700g合生元爱斯时光幼儿配方奶粉3段大料片,T4CA-0.23×802(W)×829 2.8/2.8 R2,张,A516075F,398.8×164.5mm,白瓷,,0,0.23,829,802,0.0000055,"1,200.40",0.000152917,克,立方米,销售,ZHANG,√,2023.05.31,9999.12.31
502成品罐,502成品罐,C05-516-0075,700g合生元爱斯时光幼儿配方奶粉3段,502×160,罐,A516075F,398.8×164.5,白瓷,,0,0,0,0,1.594617,118.445,0.002967429,克,立方米,销售,GUAN,√,2023.05.31,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-700-0068,达能176覆膜打样罐大料片,T4CA-0.25×802(W)×906 2.8/2.8 R2  覆膜铁,张,,398.8×180,,,0,0.25,906,802,,"1,425.98",0.000181653,克,立方米,销售,ZHANG,√,2022.11.25,9999.12.31
502成品罐,502成品罐,C05-700-0068,达能176覆膜打样罐,502×176,罐,,398.8×180,,,0,0,0,0,1.721505,158.9,0.00327252,克,立方米,销售,GUAN,√,2022.11.25,9999.12.31
502拼版大料,502拼版大料,T95-700-0003,Nutrilon Goat  800G （诺优羊 ）拼版大料片,T4CA-0.25×802(W)×906 2.8/2.8 R2,张,,398.8×180,白墨,四色+三专,0,0.25,906,802,,"1,425.98",0.000181653,克,立方米,销售,ZHANG,√,2023.07.24,9999.12.31
502拼版大料,502拼版大料,T95-700-060,爱他美悠熠1段直罐（800g）拼板大料片,T4CA-0.25×802(W)×906 2.8/2.8 R2,张,A700060F,398.8×180,白墨,四色+三专,0,0.25,906,802,,"1,425.98",0.000181653,克,立方米,销售,ZHANG,√,2023.07.24,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-039,Nutrilon Goat S2 800G （诺优羊 ）小料片,502×176,片,A700039F,398.8×180,白墨,四色+专色,0,0,0,0,,0,0.000015792,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-038,Nutrilon Goat S1 800G （诺优羊 ）小料片,502×176,片,A700038F,398.8×180,白墨,四色+专色,0,0,0,0,,0,0.000015792,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-036,Nutrilon Goat S3 800G （诺优羊 ）小料片,502×176,片,A700036F,398.8×180,白墨,四色+专色,0,0,0,0,,0,0.000015792,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502打码易撕盖,502打码易撕盖,P25-342-0003,展辉卓赋900g（双码40mm圆）＋验证码＋文字,502#-铁质-点胶-D型-环外光油内素铁-铝箔,pcs,,1,,,0,0,0,0,,0,0,克,立方米,销售,pcs,√,2025.03.19,9999.12.30
401罐身涂印铁大料,401罐身涂印铁大料,T14-050-1006,亚泽60g成长小将复合粉大料片-01,T4CA  0.23×943（W）×789  2.8/2.8 R2#,张,A0501006F,312.4×130.5,白瓷,四色+专色+过光印哑,0,0.23,789,943,0.99,"1,495.14",0.000188044,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-050-1006,亚泽60g成长小将复合粉小料片-01,401×127,片,A0501006F,312.4×130.5,白瓷,四色+专色+过光印哑,0,0,0,0,0.66,0,0.000008969,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-050-1006,亚泽60g成长小将复合粉-01,401×127,罐,A0501006F,312.40×130.50mm,白瓷,四色+专色+过光印哑,0,0,0,0,1.023056,73.607,0.00138843,克,立方米,销售,GUAN,√,2023.06.08,9999.12.31
502底盖,502底盖,P35-999-0017,502底盖打样（安琪印蓝）20260204,502,pcs,,,,,,0,0,0,,0,0.00005,克,立方米,销售,pcs,√,2022.04.08,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-050-1005,亚泽60g成长小将复合粉大料片,T4CA  0.23×943（W）×789  2.8/2.8 R2#,张,A0501005F,312.4×130.5,白瓷,四色+专色+过光印哑,0,0.23,789,943,0.99,"1,495.14",0.000188044,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-050-1005,亚泽60g成长小将复合粉小料片,401×127,片,A0501005F,312.4×130.5,白瓷,四色+专色+过光印哑,0,0,0,0,0.66,0,0.000008969,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-050-1005,亚泽60g成长小将复合粉,401×127,罐,A0501005F,312.40×130.50mm,白瓷,四色+专色+过光印哑,0,0,0,0,1.023056,73.607,0.00138843,克,立方米,销售,GUAN,√,2023.06.08,9999.12.31
502拼版大料,502拼版大料,T95-700-0002,Nutrilon Goat  400G （诺优羊 ）,T4CA-0.25×802(W)×846  2.8/2.8  R2,张,,398.8×120,,,0,0.25,846,802,,"1,363.02",0.000173633,克,立方米,销售,ZHANG,√,2025.07.09,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-044,Nutrilon Goat S3 400G （诺优羊 ）小料片,502×116,片,A700044F,398.8×120,白墨,四色+专色,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-043,Nutrilon Goat S2 400G （诺优羊 ）小料片,502×116,片,A700043F,398.8×120,白墨,四色+专色,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-042,Nutrilon Goat S1 400G （诺优羊 ）小料片,502×116,片,A700042F,398.8×120,白墨,四色+专色,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2022.11.25,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-063,爱他美悠熠2段直罐（400g）小料片,502×116,片,A700063F,398.8×120,白墨,四色+三专,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2023.07.24,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-062,爱他美悠熠1段直罐（400g）小料片,502×116,片,A700062F,398.8×120,白墨,四色+三专,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2023.07.24,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-700-059,爱他美悠熠3段直罐（400g）小料片,502×116,片,A700059F,398.8×120,白墨,四色+三专,0,0,0,0,,0,0.000011964,克,立方米,销售,PIAN,√,2023.07.24,9999.12.31
502拼版大料,502拼版大料,T95-700-0001,爱他美悠熠直罐（400g）拚版大料片,T4CA-0.25×802(W)×846  2.8/2.8  R2,张,0600035/0600036,398.8×120,白墨,四色+三专,0,0.25,846,802,,"1,363.02",0.000173633,克,立方米,销售,ZHANG,√,2025.07.09,9999.12.31
502底盖,502底盖,P35-000-111,单光印蓝筋点底-08#（印蓝φ62）,502,pcs,,、,,,144.3,0,0,0,,0,0.00005,克,立方米,通用,pcs,√,2021.05.01,9999.12.31
502底盖,502底盖,P35-000-133,外双光筋点底-08#(达能专用),502,pcs,,,,,144.3,0,0,0,,0,0.00005,克,立方米,通用,pcs,√,2023.07.21,9999.12.31
托盘,托盘,B10-000-0070,九孔托盘(黄色）,120×100×14cm,pcs,,1200×1000,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2023.09.15,9999.12.31
托盘,托盘,B10-000-0069,九孔托盘(红色）,120×100×14cm,pcs,,1200×1000,,,0,0,0,0,,0,0,克,立方米,通用,pcs,√,2023.09.15,9999.12.31
401底盖,401底盖,P34-000-058,单光印蓝筋点底-23#（印蓝φ75）（0.23）,401,pcs,,,,,115.6,0,0,0,,0,0.000035357,克,立方米,通用,pcs,√,2020.11.06,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-000-032,金安科技素铁罐（401#）大料片,T4CA-0.23×943（W)×773 2.8/2.8  R2,张,A000032F,312.4×153.5,,,0,0.23,774,943,,"1,317.80",0.000167872,克,立方米,通用,ZHANG,√,2023.06.13,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-000-0001,401*150打样大料片,T4CA-0.21×943(W)×773  2.8/2.8  R2,张,,312.4×153.5,,,0,0.21,773,943,,"1,423.00",0.000153077,克,立方米,通用,ZHANG,√,2017.12.31,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-000-0001,401*150打样小料片,401×150,片,,312.4×153.5,,,0,0,0,0,,79,0.00001067,克,立方米,通用,PIAN,√,2017.12.31,9999.12.31
401成品罐,401成品罐,C04-000-0001,401*150打样,401×150,罐,A0000001F,312.4×153.5,,,0,0,0,0,1.273599,79,0.001605128,克,立方米,通用,GUAN,√,2017.12.31,9999.12.31
502胶盖,502胶盖,P55-000-0077,213光身粉色高盖（不配胶勺）,502胶盖,pcs,,0,,,131,0,0,0,,50,0.000595467,克,立方米,销售,pcs,√,2025.02.11,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-213-0112,280g韵葆佳酵母多维蛋白粉大料片,T4CA-0.23×802(W)×732 2.82.8 R2,张,A2130112F,398.8×181.5,白瓷,四色+光油,0,0.23,732,802,15.17,"1,322.03",0.000182646,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
502成品罐,502成品罐,C05-213-0112,280g韵葆佳酵母多维蛋白粉,502×177,罐,A2130112F,398.8×181.5,白瓷,四色+光油,0,0,0,0,1.806944,130.69,0.003228571,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
马口铁,马口铁,Y20-023-050,马口铁,T4CA-0.23×943(W)×774 2.8/2.8 R2,张,,,,,0,0.23,943,774,,"1,317.80",0,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401打码易撕盖,401打码易撕盖,P24-068-003,贝因美（双码35mm圆）-非特医2.0版,401#-铁质-点胶-D型-环内外素铁-铝箔,pcs,,,,,0,0,0,0,,0,0,克,立方米,销售,pcs,√,2022.09.29,9999.12.31
401成品罐,401成品罐,X04-068-0002,贝因美成品罐包装（401*150）,胶托、胶盖板、C33单坑瓦楞纸板、PE膜，’PO袋、缠绕膜、单层121罐、整托7层847罐。,套,,0,,,0,0,0,0,,0,0,克,立方米,通用,SET,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-068-849,350g可睿欣幼儿配方奶粉罐（B）-05大料铁,T4CA-0.23×943（W）×774  2.8/2.8 R2,张,A068849F,312.4×153.5,白墨+珠光油,四色+两专色,0,0.23,774,943,19,"1,317.80",0.000167872,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-068-848,350g可睿欣较大婴儿配方奶粉罐（B）-05大料铁,T4CA-0.23×943（W）×774  2.8/2.8 R2,张,A068848F,312.4×153.5,白墨+珠光油,四色+两专色,0,0.23,774,943,,"1,317.80",0.000167872,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401罐身涂印铁大料,401罐身涂印铁大料,T14-068-847,350克可睿欣婴儿配方奶粉罐（B）-05大料片,T4CA-0.23×943（W）×774  2.8/2.8  R2,张,A068847F,312.4×153.5,白墨+珠光油,四色+两专色,0,0.23,774,943,,"1,317.80",0.000167872,克,立方米,销售,ZHANG,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-068-849,350g可睿欣幼儿配方奶粉罐（B）-05小料片,312.4×153.5,片,A068849F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,,86,0.000010549,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-068-848,350g可睿欣较大婴儿配方奶粉罐（B）-05小料片,312.4×153.5,片,A068848F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,,86,0.000010549,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401半成品罐小料片,401半成品罐小料片,D14-068-847,350克可睿欣婴儿配方奶粉罐（B）-05小料片,312.4×153.5,片,A068847F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,,86.58,0.000010549,克,立方米,销售,PIAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-068-849,350g可睿欣幼儿配方奶粉罐（B）-05,401×150,罐,A068849F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,1.273599,86,0.001487603,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-068-847,350克可睿欣婴儿配方奶粉罐（B）-05,401×150,罐,A068847F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,1.273599,86,0.001487603,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
401成品罐,401成品罐,C04-068-848,350g可睿欣较大婴儿配方奶粉罐（B）-05,401×150,罐,A068848F,312.4×153.5,白墨+珠光油,四色+两专色,0,0,0,0,1.273599,86,0.001487603,克,立方米,销售,GUAN,√,2018.01.01,9999.12.31
502罐身涂印铁大料,502罐身涂印铁大料,T15-068-1011,800克菁爱较大婴儿配方奶粉罐（新风格B1）-01大料铁,T4CA-0.25×802（W）×904  2.8/2.8  R2,张,A0681011F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0.25,904,802,17.98,"1,422.83",0.000167121,克,立方米,销售,ZHANG,√,2019.02.18,9999.12.31
502半成品罐小料片,502半成品罐小料片,D15-068-1011,800克菁爱较大婴儿配方奶粉罐（新风格B1）-01小料片,398.8×175.5,片,A0681011F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,17.98,140.48,0.000015748,克,立方米,销售,PIAN,√,2019.02.18,9999.12.31
502成品罐,502成品罐,C05-068-1011,800克菁爱较大婴儿配方奶粉罐（新风格B1）-01,502×175.5,罐,A0681011F,398.8×179.5,白墨+珠光60%白,四色+三专色,0,0,0,0,1.798042,156,0.0000222,克,立方米,销售,GUAN,√,2019.02.18,9999.12.31
